Kabupaten/Kota;BPR/S;LKM/S;Pegadaian;Bank;ATM;RS Umum;RS Swasta/Khusus;Puskesmas;Poliklinik (Klinik Pratama);Posyandu/Polindes;TK;KB;TPA;SPS;PKBM;SKB;SD;SMP;SMA;SMK;SLB;Akademi;Politeknik;Sekolah Tinggi;Institut;Universitas;Jumlah Guru TK;Jumlah Guru KB;Jumlah Guru TPA;Jumlah Guru SPS;Jumlah Guru PKBM;Jumlah Guru SKB;Jumlah Guru SD;Jumlah Guru SMP;Jumlah Guru SMA;Jumlah Guru SMK;Jumlah Guru SLB;Pserta Didik TK;Pserta Didik KB;Pserta Didik TPA;Pserta Didik SPS;Pserta Didik PKBM;Pserta Didik SKB;Pserta Didik SD;Pserta Didik SMP;Pserta Didik SMA;Pserta Didik SMK;Pserta Didik SLB;Jumlah Penduduk;Kepadatan Penduduk;PDRB per Kapita;Tenaga Medis Dokter;Tenaga Medis Perawat;Tenaga Medis Bidan;Tenaga Medis Tenaga Kefarmasian;Tenaga Medis Tenaga Gizi;analisis proximity (jarak) ;Kepadatan Fasilitas Luas Wilayah Km2;Kepadatan Fasilitas Keuangan;Kepadatan Fasilitas Kesehatan;Kepadatan Fasilitas Pendidikan
Nias Selatan;P-APBD;26,61;Rp460,406,798,948;Sesuai UU dan Stabil pada P-APBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nias Utara;APBD;25,97;Rp244,444,927,808;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nias Utara;P-APBD;27;Rp264,156,421,580;Sesuai UU dan Stabil pada P-APBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nias;APBD;23,31;Rp247,400,789,816;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nias;P-APBD;22,24;Rp253,411,185,509;Sesuai UU dan Stabil pada P-APBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Padang Lawas;APBD;31,85;Rp368,333,187,286;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Padang Lawas;P-APBD;26,53;Rp316,220,752,361;Sesuai UU dan Stabil pada P-APBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pakpak Bharat;APBD;22,7;Rp148,766,555,768;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samosir;APBD;27,42;Rp256,452,628,899;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Serdang Bedagai;APBD;34,98;Rp594,867,234,524;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Simalungun;APBD;23,31;Rp653,624,995,484;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Simalungun;P-APBD;28,35;Rp2,373,616,022,498;Sesuai UU dan Stabil pada P-APBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tapanuli Selatan;APBD;23,3;Rp399,083,702,785;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tapanuli Tengah;APBD;31,89;Rp401,246,175,939;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tapanuli Tengah;P-APBD;31,32;Rp410,851,486,028;Sesuai UU dan Stabil pada P-APBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tapanuli Utara;APBD;32,71;Rp483,839,203,002;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Toba;APBD;27,95;Rp386,301,107,051;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Binjai;APBD;29,15;Rp299,359,519,592;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Gunung Sitoli;APBD;31;Rp243,497,677,589;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Gunung Sitoli;P-APBD;32,57;Rp246,377,207,453;Sesuai UU dan Stabil pada P-APBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Medan;APBD;21,76;Rp1,747,002,627,819;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Padangsidimpuan;APBD;26,16;Rp249,357,837,433;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Pematangsiantar;APBD;27,65;Rp294,367,891,111;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Sibolga;APBD;19,48;Rp150,649,877,902;Di bawah UU (kurang dari 20%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Sibolga;P-APBD;19,59;Rp153,591,265,651;Di bawah UU (kurang dari 20%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Tanjungbalai;APBD;21,98;Rp161,421,643,084;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Tebing Tinggi;APBD;27,7;Rp201,344,369,246;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Tebing Tinggi;P-APBD;27,96;Rp206,670,647,936;Sesuai UU dan Stabil pada P-APBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Provinsi;Total Kredit (Miliar Rp);Kredit UMKM (Miliar Rp);Kredit BPR (Miliar Rp);Kredit Pendidikan (Miliar Rp);Kredit Kesehatan (Miliar Rp);Total Sosial (Miliar Rp);% Pendidikan;% Kesehatan;% Sosial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sumatera Utara;71245;80890;1954;8;4;12;0,011228858;0,005614429;0,016843287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
